Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 89
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 45
Crystal size: 12 * 15 ; real percentage: 8 ; total number of steps: 24
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 53
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 11
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 18
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 76
Crystal size: 12 * 15 ; real percentage: 2 ; total number of steps: 19
Crystal size: 12 * 15 ; real percentage: 2 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 28
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 44
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 10
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 29
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 8
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 41
Crystal size: 12 * 15 ; real percentage: 7 ; total number of steps: 29
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 8
Crystal size: 12 * 15 ; real percentage: 7 ; total number of steps: 11
Crystal size: 12 * 15 ; real percentage: 7 ; total number of steps: 51
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 17
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 32
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 13
Crystal size: 12 * 15 ; real percentage: 7 ; total number of steps: 25
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 64
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 8
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 31
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 10
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 19
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 18
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 10
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 121
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 26
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 19
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 72
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 15
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 29
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 29
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 30
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 18
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 8
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 57
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 10
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 48
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 35
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 25
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 8
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 42
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 43
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 19
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 140
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 9
Crystal size: 12 * 15 ; real percentage: 2 ; total number of steps: 8
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 13
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 50
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 11
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 40
Crystal size: 12 * 15 ; real percentage: 5 ; total number of steps: 29
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 22
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 22
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 46
Crystal size: 12 * 15 ; real percentage: 7 ; total number of steps: 103
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 94
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 16
Crystal size: 12 * 15 ; real percentage: 1 ; total number of steps: 56
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 56
Crystal size: 12 * 15 ; real percentage: 8 ; total number of steps: 22
Crystal size: 12 * 15 ; real percentage: 10 ; total number of steps: 45
Crystal size: 12 * 15 ; real percentage: 10 ; total number of steps: 10
Crystal size: 12 * 15 ; real percentage: 8 ; total number of steps: 26
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 16
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 8 ; total number of steps: 49
Crystal size: 12 * 15 ; real percentage: 10 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 22
Crystal size: 12 * 15 ; real percentage: 7 ; total number of steps: 24
Crystal size: 12 * 15 ; real percentage: 4 ; total number of steps: 25
Crystal size: 12 * 15 ; real percentage: 6 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 7 ; total number of steps: 20
Crystal size: 12 * 15 ; real percentage: 7 ; total number of steps: 33
Crystal size: 12 * 15 ; real percentage: 11 ; total number of steps: 17
Crystal size: 12 * 15 ; real percentage: 3 ; total number of steps: 41
Crystal size: 12 * 15 ; real percentage: 7 ; total number of steps: 16
Crystal size: 12 * 15 ; real percentage: 11 ; total number of steps: 12
Crystal size: 12 * 15 ; real percentage: 8 ; total number of steps: 38
Crystal size: 12 * 15 ; real percentage: 8 ; total number of steps: 23
Crystal size: 12 * 15 ; real percentage: 15 ; total number of steps: 20
Crystal size: 12 * 15 ; real percentage: 15 ; total number of steps: 8
Crystal size: 12 * 15 ; real percentage: 16 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 15 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 12 ; total number of steps: 17
Crystal size: 12 * 15 ; real percentage: 17 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 18 ; total number of steps: 9
Crystal size: 12 * 15 ; real percentage: 14 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 13 ; total number of steps: 21
Crystal size: 12 * 15 ; real percentage: 13 ; total number of steps: 10
Crystal size: 12 * 15 ; real percentage: 11 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 17 ; total number of steps: 9
Crystal size: 12 * 15 ; real percentage: 13 ; total number of steps: 12
Crystal size: 12 * 15 ; real percentage: 18 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 18 ; total number of steps: 8
Crystal size: 12 * 15 ; real percentage: 11 ; total number of steps: 23
Crystal size: 12 * 15 ; real percentage: 16 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 15 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 18 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 17 ; total number of steps: 10
Crystal size: 12 * 15 ; real percentage: 13 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 16 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 10 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 14 ; total number of steps: 10
Crystal size: 12 * 15 ; real percentage: 17 ; total number of steps: 12
Crystal size: 12 * 15 ; real percentage: 16 ; total number of steps: 25
Crystal size: 12 * 15 ; real percentage: 20 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 14 ; total number of steps: 11
Crystal size: 12 * 15 ; real percentage: 11 ; total number of steps: 25
Crystal size: 12 * 15 ; real percentage: 17 ; total number of steps: 12
Crystal size: 12 * 15 ; real percentage: 14 ; total number of steps: 14
Crystal size: 12 * 15 ; real percentage: 15 ; total number of steps: 12
Crystal size: 12 * 15 ; real percentage: 14 ; total number of steps: 12
Crystal size: 12 * 15 ; real percentage: 16 ; total number of steps: 16
Crystal size: 12 * 15 ; real percentage: 13 ; total number of steps: 27
Crystal size: 12 * 15 ; real percentage: 12 ; total number of steps: 9
Crystal size: 12 * 15 ; real percentage: 18 ; total number of steps: 13
Crystal size: 12 * 15 ; real percentage: 16 ; total number of steps: 13
Crystal size: 12 * 15 ; real percentage: 15 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 18 ; total number of steps: 13
Crystal size: 12 * 15 ; real percentage: 13 ; total number of steps: 21
Crystal size: 12 * 15 ; real percentage: 14 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 10 ; total number of steps: 14
Crystal size: 12 * 15 ; real percentage: 17 ; total number of steps: 10
Crystal size: 12 * 15 ; real percentage: 15 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 18 ; total number of steps: 18
Crystal size: 12 * 15 ; real percentage: 18 ; total number of steps: 21
Crystal size: 12 * 15 ; real percentage: 12 ; total number of steps: 14
Crystal size: 12 * 15 ; real percentage: 13 ; total number of steps: 8
Crystal size: 12 * 15 ; real percentage: 13 ; total number of steps: 14
Crystal size: 12 * 15 ; real percentage: 13 ; total number of steps: 9
Crystal size: 12 * 15 ; real percentage: 8 ; total number of steps: 18
Crystal size: 12 * 15 ; real percentage: 16 ; total number of steps: 12
Crystal size: 12 * 15 ; real percentage: 11 ; total number of steps: 17
Crystal size: 12 * 15 ; real percentage: 11 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 11 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 12 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 12 ; total number of steps: 21
Crystal size: 12 * 15 ; real percentage: 17 ; total number of steps: 17
Crystal size: 12 * 15 ; real percentage: 13 ; total number of steps: 36
Crystal size: 12 * 15 ; real percentage: 17 ; total number of steps: 15
Crystal size: 12 * 15 ; real percentage: 12 ; total number of steps: 12
Crystal size: 12 * 15 ; real percentage: 18 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 13 ; total number of steps: 13
Crystal size: 12 * 15 ; real percentage: 16 ; total number of steps: 11
Crystal size: 12 * 15 ; real percentage: 13 ; total number of steps: 12
Crystal size: 12 * 15 ; real percentage: 19 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 18 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 17 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 16 ; total number of steps: 8
Crystal size: 12 * 15 ; real percentage: 19 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 12 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 12 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 14 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 15 ; total number of steps: 10
Crystal size: 12 * 15 ; real percentage: 17 ; total number of steps: 16
Crystal size: 12 * 15 ; real percentage: 14 ; total number of steps: 24
Crystal size: 12 * 15 ; real percentage: 15 ; total number of steps: 14
